areaCode,areaName,areaType,date,cumCasesByPublishDate
S12000029,South Lanarkshire,utla,2021-10-13,43005
S12000045,East Dunbartonshire,utla,2021-10-13,14031
W06000023,Powys,utla,2021-10-13,10132
S12000013,Na h-Eileanan Siar,utla,2021-10-12,852
S12000029,South Lanarkshire,utla,2021-10-12,42857
S12000045,East Dunbartonshire,utla,2021-10-12,13964
W06000023,Powys,utla,2021-10-12,10057
S12000013,Na h-Eileanan Siar,utla,2021-10-11,847
S12000029,South Lanarkshire,utla,2021-10-11,42733
S12000045,East Dunbartonshire,utla,2021-10-11,13936
W06000023,Powys,utla,2021-10-11,9987
S12000013,Na h-Eileanan Siar,utla,2021-10-10,841
S12000029,South Lanarkshire,utla,2021-10-10,42586
S12000045,East Dunbartonshire,utla,2021-10-10,13901
W06000023,Powys,utla,2021-10-10,9817
S12000013,Na h-Eileanan Siar,utla,2021-10-09,832
S12000029,South Lanarkshire,utla,2021-10-09,42430
S12000045,East Dunbartonshire,utla,2021-10-09,13849
W06000023,Powys,utla,2021-10-09,9817
S12000013,Na h-Eileanan Siar,utla,2021-10-08,830
S12000029,South Lanarkshire,utla,2021-10-08,42280
S12000045,East Dunbartonshire,utla,2021-10-08,13809
W06000023,Powys,utla,2021-10-08,9563
S12000013,Na h-Eileanan Siar,utla,2021-10-07,822
S12000029,South Lanarkshire,utla,2021-10-07,42134
S12000045,East Dunbartonshire,utla,2021-10-07,13765
W06000023,Powys,utla,2021-10-07,9563
S12000013,Na h-Eileanan Siar,utla,2021-10-06,822
S12000029,South Lanarkshire,utla,2021-10-06,42004
S12000045,East Dunbartonshire,utla,2021-10-06,13712
W06000023,Powys,utla,2021-10-06,9451
S12000013,Na h-Eileanan Siar,utla,2021-10-05,816
S12000029,South Lanarkshire,utla,2021-10-05,41835
S12000045,East Dunbartonshire,utla,2021-10-05,13642
W06000023,Powys,utla,2021-10-05,9367
S12000013,Na h-Eileanan Siar,utla,2021-10-04,812
S12000029,South Lanarkshire,utla,2021-10-04,41668
S12000045,East Dunbartonshire,utla,2021-10-04,13598
W06000023,Powys,utla,2021-10-04,9321
S12000013,Na h-Eileanan Siar,utla,2021-10-03,804
S12000029,South Lanarkshire,utla,2021-10-03,41562
S12000045,East Dunbartonshire,utla,2021-10-03,13556
W06000023,Powys,utla,2021-10-03,9189
S12000013,Na h-Eileanan Siar,utla,2021-10-02,786
S12000029,South Lanarkshire,utla,2021-10-02,41425
S12000045,East Dunbartonshire,utla,2021-10-02,13509
W06000023,Powys,utla,2021-10-02,9123
S12000013,Na h-Eileanan Siar,utla,2021-10-01,770
S12000029,South Lanarkshire,utla,2021-10-01,41242
S12000045,East Dunbartonshire,utla,2021-10-01,13447
W06000023,Powys,utla,2021-10-01,9123
S12000013,Na h-Eileanan Siar,utla,2021-09-30,765
S12000029,South Lanarkshire,utla,2021-09-30,41060
S12000045,East Dunbartonshire,utla,2021-09-30,13378
W06000023,Powys,utla,2021-09-30,9078
S12000013,Na h-Eileanan Siar,utla,2021-09-29,750
S12000029,South Lanarkshire,utla,2021-09-29,40838
S12000045,East Dunbartonshire,utla,2021-09-29,13312
W06000023,Powys,utla,2021-09-29,9001
S12000013,Na h-Eileanan Siar,utla,2021-09-28,734
S12000029,South Lanarkshire,utla,2021-09-28,40685
S12000045,East Dunbartonshire,utla,2021-09-28,13232
W06000023,Powys,utla,2021-09-28,8938
S12000013,Na h-Eileanan Siar,utla,2021-09-27,727
S12000029,South Lanarkshire,utla,2021-09-27,40520
S12000045,East Dunbartonshire,utla,2021-09-27,13199
W06000023,Powys,utla,2021-09-27,8867
S12000013,Na h-Eileanan Siar,utla,2021-09-26,720
S12000029,South Lanarkshire,utla,2021-09-26,40395
S12000045,East Dunbartonshire,utla,2021-09-26,13159
W06000023,Powys,utla,2021-09-26,8671
S12000013,Na h-Eileanan Siar,utla,2021-09-25,717
S12000029,South Lanarkshire,utla,2021-09-25,40211
S12000045,East Dunbartonshire,utla,2021-09-25,13092
W06000023,Powys,utla,2021-09-25,8585
S12000013,Na h-Eileanan Siar,utla,2021-09-24,708
S12000029,South Lanarkshire,utla,2021-09-24,40017
S12000045,East Dunbartonshire,utla,2021-09-24,13032
W06000023,Powys,utla,2021-09-24,8585
S12000013,Na h-Eileanan Siar,utla,2021-09-23,703
S12000029,South Lanarkshire,utla,2021-09-23,39784
S12000045,East Dunbartonshire,utla,2021-09-23,12971
W06000023,Powys,utla,2021-09-23,8523
S12000013,Na h-Eileanan Siar,utla,2021-09-22,697
S12000029,South Lanarkshire,utla,2021-09-22,39569
S12000045,East Dunbartonshire,utla,2021-09-22,12875
W06000023,Powys,utla,2021-09-22,8437
S12000013,Na h-Eileanan Siar,utla,2021-09-21,685
S12000029,South Lanarkshire,utla,2021-09-21,39383
S12000045,East Dunbartonshire,utla,2021-09-21,12767
W06000023,Powys,utla,2021-09-21,8364
S12000013,Na h-Eileanan Siar,utla,2021-09-20,681
S12000029,South Lanarkshire,utla,2021-09-20,39128
S12000045,East Dunbartonshire,utla,2021-09-20,12682
W06000023,Powys,utla,2021-09-20,8291
S12000013,Na h-Eileanan Siar,utla,2021-09-19,678
S12000029,South Lanarkshire,utla,2021-09-19,38916
S12000045,East Dunbartonshire,utla,2021-09-19,12626
W06000023,Powys,utla,2021-09-19,8128
S12000013,Na h-Eileanan Siar,utla,2021-09-18,671
S12000029,South Lanarkshire,utla,2021-09-18,38668
S12000045,East Dunbartonshire,utla,2021-09-18,12536
W06000023,Powys,utla,2021-09-18,8027
S12000013,Na h-Eileanan Siar,utla,2021-09-17,666
S12000029,South Lanarkshire,utla,2021-09-17,38271
S12000045,East Dunbartonshire,utla,2021-09-17,12368
W06000023,Powys,utla,2021-09-17,8027
S12000013,Na h-Eileanan Siar,utla,2021-09-16,653
S12000029,South Lanarkshire,utla,2021-09-16,37939
S12000045,East Dunbartonshire,utla,2021-09-16,12230
W06000023,Powys,utla,2021-09-16,7958
S12000013,Na h-Eileanan Siar,utla,2021-09-15,653
S12000029,South Lanarkshire,utla,2021-09-15,37939
S12000045,East Dunbartonshire,utla,2021-09-15,12230
W06000023,Powys,utla,2021-09-15,7841
S12000013,Na h-Eileanan Siar,utla,2021-09-14,646
S12000029,South Lanarkshire,utla,2021-09-14,37592
S12000045,East Dunbartonshire,utla,2021-09-14,12144
W06000023,Powys,utla,2021-09-14,7760
S12000013,Na h-Eileanan Siar,utla,2021-09-13,644
S12000029,South Lanarkshire,utla,2021-09-13,37358
S12000045,East Dunbartonshire,utla,2021-09-13,12046
W06000023,Powys,utla,2021-09-13,7678
S12000013,Na h-Eileanan Siar,utla,2021-09-12,638
S12000029,South Lanarkshire,utla,2021-09-12,37108
S12000045,East Dunbartonshire,utla,2021-09-12,11955
W06000023,Powys,utla,2021-09-12,7515
S12000013,Na h-Eileanan Siar,utla,2021-09-11,629
S12000029,South Lanarkshire,utla,2021-09-11,36458
S12000045,East Dunbartonshire,utla,2021-09-11,11734
W06000023,Powys,utla,2021-09-11,7454
S12000013,Na h-Eileanan Siar,utla,2021-09-10,629
S12000029,South Lanarkshire,utla,2021-09-10,36458
S12000045,East Dunbartonshire,utla,2021-09-10,11734
W06000023,Powys,utla,2021-09-10,7454
S12000013,Na h-Eileanan Siar,utla,2021-09-09,624
S12000029,South Lanarkshire,utla,2021-09-09,36075
S12000045,East Dunbartonshire,utla,2021-09-09,11608
W06000023,Powys,utla,2021-09-09,7342
S12000013,Na h-Eileanan Siar,utla,2021-09-08,622
S12000029,South Lanarkshire,utla,2021-09-08,35589
