Type,time_open,BTC_norm
BTC,2021-10-01T00:00:00.7905020Z,0
BTC,2021-10-01T12:00:00.9255280Z,0.019478147
BTC,2021-10-02T00:00:01.5321180Z,0.009045838
BTC,2021-10-02T12:00:00.9093790Z,0.01272272
BTC,2021-10-03T00:00:00.2669710Z,0.002947296
BTC,2021-10-03T12:00:01.3042220Z,0.055492934
BTC,2021-10-04T00:00:03.5910000Z,0.007576372
BTC,2021-10-04T12:00:01.0532000Z,0.062754052
BTC,2021-10-05T00:00:01.3766430Z,0.096361334
BTC,2021-10-05T12:00:00.4450000Z,0.166638358
BTC,2021-10-06T00:00:00.0277400Z,0.165974396
BTC,2021-10-06T12:00:01.2729760Z,0.357300943
BTC,2021-10-07T00:00:02.4726980Z,0.334866493
BTC,2021-10-07T12:00:01.7795430Z,0.303709823
BTC,2021-10-08T00:00:01.6890000Z,0.37371663
BTC,2021-10-08T12:00:02.3910000Z,0.32852154
BTC,2021-10-09T00:00:01.6858990Z,0.331897966
BTC,2021-10-09T12:00:00.7621380Z,0.337304881
BTC,2021-10-10T00:00:00.1757830Z,0.365806347
BTC,2021-10-10T12:00:01.7167910Z,0.384891392
BTC,2021-10-11T00:00:01.3453260Z,0.405537906
BTC,2021-10-11T12:00:01.1898190Z,0.450477576
BTC,2021-10-12T00:00:01.0341680Z,0.447283868
BTC,2021-10-12T12:00:00.9926260Z,0.432513932
BTC,2021-10-13T00:00:00.8059330Z,0.393926936
BTC,2021-10-13T12:00:00.3893880Z,0.434441481
BTC,2021-10-14T00:00:01.8486340Z,0.472482253
BTC,2021-10-14T12:00:01.8074450Z,0.445585361
BTC,2021-10-15T00:00:01.8150000Z,0.536113867
BTC,2021-10-15T12:00:01.0005250Z,0.662639789
BTC,2021-10-16T00:00:07.8810000Z,0.632361324
BTC,2021-10-16T12:00:01.9721140Z,0.59719579
BTC,2021-10-17T00:00:00.2184440Z,0.59091646
BTC,2021-10-17T12:00:00.8350000Z,0.60140989
BTC,2021-10-18T00:00:03.4880000Z,0.648656056
BTC,2021-10-18T12:00:00.4015950Z,0.63990424
BTC,2021-10-19T00:00:01.5207290Z,0.660037985
BTC,2021-10-19T12:00:00.7474040Z,0.723873549
BTC,2021-10-20T00:00:00.0010000Z,0.717957082
BTC,2021-10-20T12:00:00.0685370Z,0.83898859
BTC,2021-10-21T00:00:00.7932820Z,0.827202623
BTC,2021-10-21T12:00:01.3818920Z,0.772703702
BTC,2021-10-22T00:00:02.7440000Z,0.688818675
BTC,2021-10-22T12:00:02.9923150Z,0.690555785
BTC,2021-10-23T00:00:08.4210000Z,0.601135812
BTC,2021-10-23T12:00:01.2026640Z,0.60399947
BTC,2021-10-24T00:00:01.1868100Z,0.593653373
BTC,2021-10-24T12:00:02.4650000Z,0.59000866
BTC,2021-10-25T00:00:02.7880000Z,0.668964155
BTC,2021-10-25T12:00:00.8041670Z,0.695606271
BTC,2021-10-26T00:00:01.0820000Z,0.675397895
BTC,2021-10-26T12:00:00.2190190Z,0.64882848
BTC,2021-10-27T00:00:00.8182140Z,0.632922346
BTC,2021-10-27T12:00:00.5767620Z,0.509359161
BTC,2021-10-28T00:00:02.0750000Z,0.596224296
BTC,2021-10-28T12:00:00.8786670Z,0.631667123
BTC,2021-10-29T00:00:00.2359620Z,0.609526696
BTC,2021-10-29T12:00:00.4490680Z,0.676997966
BTC,2021-10-30T00:00:00.3200000Z,0.647674267
BTC,2021-10-30T12:00:04.4477520Z,0.645094981
BTC,2021-10-31T00:00:00.1908700Z,0.662530416
BTC,2021-10-31T12:00:00.1420000Z,0.617121082
BTC,2021-11-01T00:00:01.2251820Z,0.660510221
BTC,2021-11-01T12:00:00.8706820Z,0.645045442
BTC,2021-11-02T00:00:01.5599860Z,0.71824467
BTC,2021-11-02T12:00:00.0250850Z,0.757050413
BTC,2021-11-03T00:00:00.9617150Z,0.719889134
BTC,2021-11-03T12:00:00.2119230Z,0.70018452
BTC,2021-11-04T00:00:02.3828350Z,0.683761756
BTC,2021-11-04T12:00:00.8016610Z,0.687205093
BTC,2021-11-05T00:00:01.5847130Z,0.703016652
BTC,2021-11-05T12:00:01.6977170Z,0.678026077
BTC,2021-11-06T00:00:01.8999290Z,0.655457806
BTC,2021-11-06T12:00:00.5554740Z,0.656096676
BTC,2021-11-07T00:00:00.2214830Z,0.69238168
BTC,2021-11-07T12:00:01.1325270Z,0.737805168
BTC,2021-11-08T00:00:00.9766300Z,0.883906387
BTC,2021-11-08T12:00:00.0287820Z,0.931555305
BTC,2021-11-09T00:00:01.9761700Z,0.969919694
BTC,2021-11-09T12:00:01.6850630Z,0.949224284
BTC,2021-11-10T00:00:01.3828710Z,0.913346535
BTC,2021-11-10T12:00:00.1900000Z,1
BTC,2021-11-11T00:00:00.0330000Z,0.871204255
BTC,2021-11-11T12:00:00.2820000Z,0.863226417
BTC,2021-11-12T00:00:01.1290000Z,0.869169906
BTC,2021-11-12T12:00:00.0225540Z,0.819327082
BTC,2021-11-13T00:00:00.2729790Z,0.81765431
BTC,2021-11-13T12:00:02.4230150Z,0.842675123
BTC,2021-11-14T00:00:00.1840630Z,0.85968207
BTC,2021-11-14T12:00:01.0963640Z,0.871009956
BTC,2021-11-15T00:00:02.5920000Z,0.904418435
BTC,2021-11-15T12:00:02.0339160Z,0.878058761
BTC,2021-11-16T00:00:02.4826150Z,0.769500986
BTC,2021-11-16T12:00:01.3309250Z,0.679097295
BTC,2021-11-17T00:00:02.2021010Z,0.637600961
BTC,2021-11-17T12:00:00.1600000Z,0.633095414
BTC,2021-11-18T00:00:03.6455160Z,0.630792778
BTC,2021-11-18T12:00:01.8998620Z,0.584012415
BTC,2021-11-19T00:00:00.3270390Z,0.474649779
BTC,2021-11-19T12:00:00.6205750Z,0.514297056
ETH,2021-10-01T00:00:00.7905020Z,0
ETH,2021-10-01T12:00:00.9255280Z,0.038391621
ETH,2021-10-02T00:00:01.5321180Z,0.047339104
ETH,2021-10-02T12:00:00.9093790Z,0.125056287
ETH,2021-10-03T00:00:00.2669710Z,0.097480029
ETH,2021-10-03T12:00:01.3042220Z,0.134654192
ETH,2021-10-04T00:00:03.5910000Z,0.093644202
ETH,2021-10-04T12:00:01.0532000Z,0.092893714
ETH,2021-10-05T00:00:01.3766430Z,0.116600791
ETH,2021-10-05T12:00:00.4450000Z,0.155651173
ETH,2021-10-06T00:00:00.0277400Z,0.151765314
ETH,2021-10-06T12:00:01.2729760Z,0.220693451
ETH,2021-10-07T00:00:02.4726980Z,0.209027535
ETH,2021-10-07T12:00:01.7795430Z,0.225596638
ETH,2021-10-08T00:00:01.6890000Z,0.237654475
ETH,2021-10-08T12:00:02.3910000Z,0.223178399
ETH,2021-10-09T00:00:01.6858990Z,0.206375811
ETH,2021-10-09T12:00:00.7621380Z,0.212296326
ETH,2021-10-10T00:00:00.1757830Z,0.193842664
ETH,2021-10-10T12:00:01.7167910Z,0.180408932
ETH,2021-10-11T00:00:01.3453260Z,0.200388586
ETH,2021-10-11T12:00:01.1898190Z,0.193292307
ETH,2021-10-12T00:00:01.0341680Z,0.160921265
ETH,2021-10-12T12:00:00.9926260Z,0.165791098
ETH,2021-10-13T00:00:00.8059330Z,0.151765314
ETH,2021-10-13T12:00:00.3893880Z,0.190432114
ETH,2021-10-14T00:00:01.8486340Z,0.265806107
ETH,2021-10-14T12:00:01.8074450Z,0.316022081
ETH,2021-10-15T00:00:01.8150000Z,0.337719518
ETH,2021-10-15T12:00:01.0005250Z,0.355397675
ETH,2021-10-16T00:00:07.8810000Z,0.39236337
ETH,2021-10-16T12:00:01.9721140Z,0.39657444
ETH,2021-10-17T00:00:00.2184440Z,0.362735778
ETH,2021-10-17T12:00:00.8350000Z,0.336752222
ETH,2021-10-18T00:00:03.4880000Z,0.348218008
ETH,2021-10-18T12:00:00.4015950Z,0.307032905
ETH,2021-10-19T00:00:01.5207290Z,0.314304298
ETH,2021-10-19T12:00:00.7474040Z,0.336452027
ETH,2021-10-20T00:00:00.0010000Z,0.343489935
ETH,2021-10-20T12:00:00.0685370Z,0.501159087
ETH,2021-10-21T00:00:00.7932820Z,0.627074265
ETH,2021-10-21T12:00:01.3818920Z,0.566876803
ETH,2021-10-22T00:00:02.7440000Z,0.506362469
ETH,2021-10-22T12:00:02.9923150Z,0.494746585
ETH,2021-10-23T00:00:08.4210000Z,0.442495956
ETH,2021-10-23T12:00:01.2026640Z,0.517002718
ETH,2021-10-24T00:00:01.1868100Z,0.526066944
ETH,2021-10-24T12:00:02.4650000Z,0.474366672
ETH,2021-10-25T00:00:02.7880000Z,0.512966762
ETH,2021-10-25T12:00:00.8041670Z,0.553709911
ETH,2021-10-26T00:00:01.0820000Z,0.566268074
ETH,2021-10-26T12:00:00.2190190Z,0.588715999
ETH,2021-10-27T00:00:00.8182140Z,0.5951285
ETH,2021-10-27T12:00:00.5767620Z,0.445873151
ETH,2021-10-28T00:00:02.0750000Z,0.520438285
ETH,2021-10-28T12:00:00.8786670Z,0.583712747
ETH,2021-10-29T00:00:00.2359620Z,0.647954504
ETH,2021-10-29T12:00:00.4490680Z,0.707301413
ETH,2021-10-30T00:00:00.3200000Z,0.688172312
ETH,2021-10-30T12:00:04.4477520Z,0.638656794
